SNR,MCS,PRBs,TBS,m_type,predicted_dec_time,dec_time,p_err
15,5,250,57376,CPU,585.6986083984375,535.69774,9.333783711396197
15,5,250,57376,CPU,585.6986083984375,535.84974,9.302769914274382
15,5,250,57376,CPU,585.6986083984375,545.20874,7.4264892375785205
15,5,250,57376,CPU,585.6986083984375,534.67574,9.54276855696454
15,5,250,57376,CPU,585.6986083984375,538.21274,8.822880781015597
15,5,250,57376,CPU,585.6986083984375,535.57574,9.35868909940497
15,5,250,57376,CPU,585.6986083984375,539.89474,8.483851574186026
15,5,250,57376,CPU,585.6986083984375,560.25974,4.540549067194715
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
15,5,250,57376,GPU,87.13521575927734,72.88274,19.55535118366481
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
15,5,250,57376,GPU,87.13521575927734,71.85874,21.259036491980442
16,6,138,36896,CPU,393.3002014160156,375.66433,4.694582372517407
16,6,138,36896,CPU,393.3002014160156,374.60033,4.991952734268985
16,6,138,36896,CPU,393.3002014160156,371.89033,5.7570390216964284
16,6,138,36896,CPU,393.3002014160156,375.62533,4.705452482668196
16,6,138,36896,CPU,393.3002014160156,374.99533,4.881359833471953
16,6,138,36896,CPU,393.3002014160156,369.71333,6.379773057145558
16,6,138,36896,CPU,393.3002014160156,367.30233,7.078057853870854
16,6,138,36896,CPU,393.3002014160156,366.69433,7.2555993478316525
16,6,138,36896,CPU,393.3002014160156,376.34433,4.505414341174108
16,6,138,36896,GPU,75.34880828857422,84.20633,-10.518831198825286
16,6,138,36896,GPU,75.34880828857422,83.18233,-9.417290560898902
16,6,138,36896,GPU,75.34880828857422,84.20633,-10.518831198825286
16,6,138,36896,GPU,75.34880828857422,84.20633,-10.518831198825286
16,6,138,36896,GPU,75.34880828857422,83.18233,-9.417290560898902
16,6,138,36896,GPU,75.34880828857422,83.18233,-9.417290560898902
16,6,138,36896,GPU,75.34880828857422,84.20633,-10.518831198825286
16,6,138,36896,GPU,75.34880828857422,84.20633,-10.518831198825286
16,6,138,36896,GPU,75.34880828857422,84.20633,-10.518831198825286
16,6,250,65576,CPU,656.232177734375,656.72088,-0.07441552119143303
16,6,250,65576,CPU,656.232177734375,622.96688,5.3398180228096646
16,6,250,65576,CPU,656.232177734375,615.24188,6.662468708140441
16,6,250,65576,CPU,656.232177734375,608.86288,7.779961513563609
16,6,250,65576,CPU,656.232177734375,611.68688,7.282369328303237
16,6,250,65576,CPU,656.232177734375,615.77888,6.569451965350784
16,6,250,65576,CPU,656.232177734375,613.23588,7.011379982263113
16,6,250,65576,CPU,656.232177734375,608.43388,7.8559559724673695
16,6,250,65576,CPU,656.232177734375,608.80888,7.789521357568725
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,6,250,65576,GPU,94.64368438720703,75.93488,24.63795871832157
16,7,24,7168,CPU,130.1541290283203,121.10683,7.470510976400184
16,7,24,7168,CPU,130.1541290283203,112.62683,15.562276793478352
16,7,24,7168,CPU,130.1541290283203,119.54183,8.877477472379592
16,7,24,7168,CPU,130.1541290283203,113.07983,15.09933206330458
16,7,24,7168,CPU,130.1541290283203,112.02783,16.180175076425492
16,7,24,7168,CPU,130.1541290283203,114.77383,13.400527827920621
16,7,24,7168,CPU,130.1541290283203,113.69283,14.478748596829117
16,7,24,7168,CPU,130.1541290283203,130.40083,-0.18918665753868347
16,7,24,7168,CPU,130.1541290283203,115.93383,12.265875308631063
16,7,24,7168,GPU,53.37562561035156,45.87683,16.345496431099455
16,7,24,7168,GPU,53.37562561035156,45.87683,16.345496431099455
16,7,24,7168,GPU,53.37562561035156,44.85283,19.001689771529612
16,7,24,7168,GPU,53.37562561035156,45.87683,16.345496431099455
16,7,24,7168,GPU,53.37562561035156,44.85283,19.001689771529612
16,7,24,7168,GPU,53.37562561035156,44.85283,19.001689771529612
16,7,24,7168,GPU,53.37562561035156,45.87683,16.345496431099455
16,7,24,7168,GPU,53.37562561035156,44.85283,19.001689771529612
16,7,24,7168,GPU,53.37562561035156,45.87683,16.345496431099455
16,7,167,50184,CPU,509.6939392089844,466.37867,9.287575096216209
16,7,167,50184,CPU,509.6939392089844,468.09467,8.886935031536328
16,7,167,50184,CPU,509.6939392089844,470.31167,8.373653413487354
16,7,167,50184,CPU,509.6939392089844,468.71167,8.743599067841505
16,7,167,50184,CPU,509.6939392089844,475.61567,7.165085458387936
16,7,167,50184,CPU,509.6939392089844,472.53067,7.864731660483411
16,7,167,50184,CPU,509.6939392089844,469.02767,8.670334781951004
16,7,167,50184,CPU,509.6939392089844,466.23667,9.320860413871857
16,7,167,50184,CPU,509.6939392089844,471.76467,8.039870643340958
16,7,167,50184,GPU,88.3620376586914,69.30767,27.492437213213783
16,7,167,50184,GPU,88.3620376586914,69.30767,27.492437213213783
16,7,167,50184,GPU,88.3620376586914,68.28367,29.404347567568358
16,7,167,50184,GPU,88.3620376586914,69.30767,27.492437213213783
16,7,167,50184,GPU,88.3620376586914,68.28367,29.404347567568358
16,7,167,50184,GPU,88.3620376586914,69.30767,27.492437213213783
16,7,167,50184,GPU,88.3620376586914,68.28367,29.404347567568358
16,7,167,50184,GPU,88.3620376586914,68.28367,29.404347567568358
16,7,167,50184,GPU,88.3620376586914,68.28367,29.404347567568358
16,7,250,73776,CPU,727.07861328125,688.42202,5.615246485179255
16,7,250,73776,CPU,727.07861328125,742.67302,-2.0997675018206468
16,7,250,73776,CPU,727.07861328125,729.50302,-0.33233676246466975
16,7,250,73776,CPU,727.07861328125,685.75602,6.025844772204838
16,7,250,73776,CPU,727.07861328125,680.78702,6.799717374348591
16,7,250,73776,CPU,727.07861328125,684.04502,6.291046937415022
16,7,250,73776,CPU,727.07861328125,678.42302,7.171866497285138
16,7,250,73776,CPU,727.07861328125,677.97702,7.242368374262885
16,7,250,73776,CPU,727.07861328125,681.20802,6.733713041318856
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
16,7,250,73776,GPU,102.87705993652344,80.01102,28.578613216683696
17,7,167,50184,CPU,510.8215026855469,486.31667,5.0388633985232065
17,7,167,50184,CPU,510.8215026855469,480.47167,6.316674755360053
17,7,167,50184,CPU,510.8215026855469,483.11067,5.73591816664841
17,7,167,50184,CPU,510.8215026855469,485.20267,5.280027145264238
17,7,167,50184,CPU,510.8215026855469,468.64767,8.99904883460679
17,7,167,50184,CPU,510.8215026855469,473.39867,7.905141069692252
17,7,167,50184,CPU,510.8215026855469,477.77067,6.917719056623313
17,7,167,50184,CPU,510.8215026855469,477.39967,7.000807664057845
17,7,167,50184,CPU,510.8215026855469,469.41367,8.821181685132188
17,7,167,50184,GPU,87.17308807373047,68.28367,27.663155881531367
17,7,167,50184,GPU,87.17308807373047,69.30767,25.776971111177833
17,7,167,50184,GPU,87.17308807373047,69.30767,25.776971111177833
17,7,167,50184,GPU,87.17308807373047,69.30767,25.776971111177833
17,7,167,50184,GPU,87.17308807373047,69.30767,25.776971111177833
17,7,167,50184,GPU,87.17308807373047,68.28367,27.663155881531367
17,7,167,50184,GPU,87.17308807373047,69.30767,25.776971111177833
17,7,167,50184,GPU,87.17308807373047,68.28367,27.663155881531367
17,7,167,50184,GPU,87.17308807373047,69.30767,25.776971111177833
18,9,171,64552,CPU,637.4300537109375,623.17286,2.2878393181207355
18,9,171,64552,CPU,637.4300537109375,622.71586,2.362906528659392
18,9,171,64552,CPU,637.4300537109375,618.02486,3.1398726761472853
18,9,171,64552,CPU,637.4300537109375,611.24286,4.2842535143784835
18,9,171,64552,CPU,637.4300537109375,607.31586,4.958571921855862
18,9,171,64552,CPU,637.4300537109375,606.78786,5.049902236168251
18,9,171,64552,CPU,637.4300537109375,603.47386,5.6267878298717955
18,9,171,64552,CPU,637.4300537109375,608.75686,4.710122479923682
18,9,171,64552,CPU,637.4300537109375,613.01386,3.9829758026902486
18,9,171,64552,GPU,99.72856903076172,75.42586,32.22065884401148
18,9,171,64552,GPU,99.72856903076172,76.44986,30.44964245946522
18,9,171,64552,GPU,99.72856903076172,75.42586,32.22065884401148
18,9,171,64552,GPU,99.72856903076172,75.42586,32.22065884401148
18,9,171,64552,GPU,99.72856903076172,75.42586,32.22065884401148
18,9,171,64552,GPU,99.72856903076172,76.44986,30.44964245946522
18,9,171,64552,GPU,99.72856903076172,75.42586,32.22065884401148
18,9,171,64552,GPU,99.72856903076172,76.44986,30.44964245946522
18,9,171,64552,GPU,99.72856903076172,75.42586,32.22065884401148
18,10,86,34816,CPU,372.7691955566406,341.57438,9.132656716420184
18,10,86,34816,CPU,372.7691955566406,347.26838,7.343258708622032
18,10,86,34816,CPU,372.7691955566406,350.97738,6.208894589343805
18,10,86,34816,CPU,372.7691955566406,343.97638,8.370579269611657
18,10,86,34816,CPU,372.7691955566406,343.04238,8.665639375706478
18,10,86,34816,CPU,372.7691955566406,343.68538,8.462337140043786
18,10,86,34816,CPU,372.7691955566406,344.20138,8.299738820524384
18,10,86,34816,CPU,372.7691955566406,342.91238,8.706835126990937
18,10,86,34816,CPU,372.7691955566406,352.32838,5.801637539570512
18,10,86,34816,GPU,85.86336517333984,60.64438,41.58503256746931
18,10,86,34816,GPU,85.86336517333984,60.64438,41.58503256746931
18,10,86,34816,GPU,85.86336517333984,59.62038,44.016802934399024
18,10,86,34816,GPU,85.86336517333984,59.62038,44.016802934399024
18,10,86,34816,GPU,85.86336517333984,60.64438,41.58503256746931
